Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2013;116;RAV4;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;103
2020;116;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2013;116;PRIUS PLUG-IN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;6
2018;116;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2021;116;RAV4 PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;42
2022;116;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2012;116;PRIUS PLUG-IN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;6
2022;116;RAV4 PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;42
2019;116;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2021;116;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2023;116;RAV4 PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;42
2014;116;PRIUS PLUG-IN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;6
2015;116;PRIUS PLUG-IN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;6
2023;116;BZ4X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;116;PRIUS;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;39
2012;116;RAV4;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;103
2002;116;RAV4;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;95
2003;116;RAV4;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;95
2019;117;E-TRON;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;204
2021;117;E-TRON;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;222
2017;117;A3;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2021;117;Q5 E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2018;117;A3;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2022;117;Q5;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
